month_end,longs,shorts,carry_EUR,carry_GBP,carry_AUD,carry_JPY,carry_CHF,carry_CAD,mom_EUR,mom_GBP,mom_AUD,mom_JPY,mom_CHF,mom_CAD,value_EUR,value_GBP,value_AUD,value_JPY,value_CHF,value_CAD,carry_NZD,mom_NZD,value_NZD
2010-07-30,"['JPY', 'AUD', 'NZD']","['CAD', 'EUR', 'CHF']",0.6865,0.6971,4.805,0.39,0.0819,0.39,-0.0846,-0.0614,0.0814,0.0946,0.0264,0.0478,0.0736,0.2179,-0.1114,0.0502,0.0032,-0.1488,2.89,0.097,0.0846
2010-08-31,"['GBP', 'AUD', 'NZD']","['EUR', 'CAD', 'CHF']",0.8488,0.736,4.84,0.37,0.1829,0.575,-0.116,-0.058,0.0557,0.1041,0.0422,0.0275,0.0497,0.1755,-0.096,-0.0276,-0.0763,-0.1051,3.23,0.0201,0.0461
2010-09-30,"['GBP', 'NZD', 'AUD']","['EUR', 'CAD', 'CHF']",0.8955,0.733,4.7425,0.36,0.2066,0.66,-0.0697,-0.0168,0.0924,0.0766,0.0535,0.037,0.0586,0.1671,-0.1143,-0.0448,-0.0705,-0.09,3.25,0.0164,0.0653
2010-10-29,"['JPY', 'AUD', 'NZD']","['CHF', 'EUR', 'CAD']",0.8955,0.733,4.7425,0.36,0.2066,0.66,-0.0532,-0.0251,0.0887,0.1217,0.0445,0.0642,0.0586,0.1671,-0.1143,-0.0448,-0.0705,-0.09,3.25,0.0685,0.0653
2010-11-30,"['GBP', 'AUD', 'NZD']","['EUR', 'CHF', 'JPY']",0.9977,0.7384,4.81,0.34,0.2479,0.895,-0.1356,-0.0536,0.0458,0.0311,0.0006,0.0276,0.0134,0.2004,-0.1669,-0.0904,-0.0861,-0.0725,3.18,0.0334,0.0628
2010-12-31,"['GBP', 'AUD', 'NZD']","['EUR', 'CAD', 'CHF']",1.042,0.739,5.015,0.34,0.186,0.9525,-0.066,-0.0346,0.1436,0.1463,0.1081,0.0539,0.0174,0.1842,-0.1923,-0.106,-0.084,-0.077,3.17,0.0753,0.0364
2011-01-31,"['GBP', 'AUD', 'NZD']","['EUR', 'JPY', 'CAD']",1.0217,0.7496,5.025,0.34,0.1914,0.994,-0.0106,0.0026,0.1279,0.0981,0.123,0.0692,0.0389,0.1857,-0.2047,-0.1028,-0.1244,-0.0652,3.17,0.1023,0.057
2011-02-28,"['GBP', 'NZD', 'AUD']","['EUR', 'JPY', 'CAD']",1.0172,0.7687,4.955,0.34,0.1508,0.9625,0.0141,0.0677,0.1367,0.0855,0.1553,0.0826,0.0491,0.173,-0.2079,-0.0866,-0.1241,-0.0774,3.19,0.0783,0.0222
2011-03-31,"['GBP', 'NZD', 'AUD']","['CAD', 'EUR', 'JPY']",1.0868,0.7996,4.9175,0.34,0.1395,0.9525,0.0466,0.0545,0.1208,0.1211,0.1437,0.0454,0.029,0.1625,-0.2195,-0.1012,-0.1257,-0.071,3.13,0.0716,0.0262
2011-04-29,"['GBP', 'NZD', 'AUD']","['CAD', 'JPY', 'EUR']",1.0868,0.7996,4.9175,0.34,0.1395,0.9525,0.1143,0.094,0.1873,0.1552,0.2448,0.0775,0.029,0.1625,-0.2195,-0.1012,-0.1257,-0.071,3.13,0.1144,0.0262
