direction,entry,exit,pnl,open_time,close_time,reason
SHORT,7.769660,7.773580,-0.003920,2024-10-29T10:46:00+00:00,2024-10-30T17:56:00+00:00,REV
LONG,7.773580,7.771370,-0.002210,2024-10-30T17:56:00+00:00,2024-11-05T00:04:00+00:00,REV
SHORT,7.771370,7.777450,-0.006080,2024-11-05T00:04:00+00:00,2024-11-06T05:06:00+00:00,REV
LONG,7.777450,7.769640,-0.007810,2024-11-06T05:06:00+00:00,2024-11-08T00:16:00+00:00,REV
SHORT,7.769640,7.776020,-0.006380,2024-11-08T00:16:00+00:00,2024-11-11T06:54:00+00:00,REV
LONG,7.776020,7.781260,0.005240,2024-11-11T06:54:00+00:00,2024-11-19T05:55:00+00:00,REV
SHORT,7.781260,7.784640,-0.003380,2024-11-19T05:55:00+00:00,2024-11-22T13:51:00+00:00,REV
LONG,7.784640,7.781310,-0.003330,2024-11-22T13:51:00+00:00,2024-11-25T03:22:00+00:00,REV
SHORT,7.781310,7.784110,-0.002800,2024-11-25T03:22:00+00:00,2024-11-28T17:46:00+00:00,REV
LONG,7.784110,7.780280,-0.003830,2024-11-28T17:46:00+00:00,2024-11-29T19:54:00+00:00,REV
SHORT,7.780280,7.784570,-0.004290,2024-11-29T19:54:00+00:00,2024-12-04T06:23:00+00:00,REV
LONG,7.784570,7.781070,-0.003500,2024-12-04T06:23:00+00:00,2024-12-06T00:58:00+00:00,REV
SHORT,7.781070,7.776580,0.004490,2024-12-06T00:58:00+00:00,2024-12-16T17:38:00+00:00,REV
LONG,7.776580,7.773040,-0.003540,2024-12-16T17:38:00+00:00,2024-12-17T04:23:00+00:00,REV
SHORT,7.773040,7.773920,-0.000880,2024-12-17T04:23:00+00:00,2024-12-20T17:58:00+00:00,REV
LONG,7.773920,7.767650,-0.006270,2024-12-20T17:58:00+00:00,2024-12-24T08:18:00+00:00,REV
SHORT,7.767650,7.768530,-0.000880,2024-12-24T08:18:00+00:00,2024-12-30T02:02:00+00:00,REV
LONG,7.768530,7.760880,-0.007650,2024-12-30T02:02:00+00:00,2024-12-30T09:04:00+00:00,REV
SHORT,7.760880,7.768730,-0.007850,2024-12-30T09:04:00+00:00,2024-12-31T20:43:00+00:00,REV
LONG,7.768730,7.771950,0.003220,2024-12-31T20:43:00+00:00,2025-01-07T03:49:00+00:00,REV
