market,date,code,oi,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-01-26,097741,78063,23152,14584,533,36386,48368,17992,14578
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-01-26,098662,4411,3365,3787,0,567,0,479,624
EURO FX - INTERNATIONAL MONETARY MARKET,1999-01-26,099741,6850,1256,270,0,2431,3519,3163,3061
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-01-26,102741,12099,1862,1069,0,5146,7624,5091,3406
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-26,112741,2324,1165,0,0,303,2009,856,315
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-01-26,232741,20229,900,0,0,13016,16888,6313,3341
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-02-02,090741,57132,7380,4034,896,26508,39527,22348,12675
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-02-02,092741,55423,1856,17649,1731,41051,18194,10785,17849
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-02-02,095741,17583,412,0,0,12678,12786,4493,4797
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-02-02,097741,78317,19197,13093,1009,42246,47001,15865,17214
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-02-02,098662,11360,6057,5507,3683,354,1635,1266,535
EURO FX - INTERNATIONAL MONETARY MARKET,1999-02-02,099741,27050,1930,12284,0,14133,5741,10987,9025
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-02-02,102741,6038,1445,527,0,2428,4261,2165,1250
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-02,112741,2365,1164,0,0,659,2003,542,362
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-02,232741,21045,419,0,0,14546,17862,6080,3183
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-02-09,090741,70696,17092,2399,888,24226,54590,28490,12819
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-02-09,092741,57841,2049,19588,1899,45435,16635,8458,19719
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-02-09,095741,17488,821,0,0,11895,12549,4772,4939
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-02-09,097741,76418,18241,12052,1009,43806,47399,13362,15958
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-02-09,098662,10467,5036,4749,3677,354,1469,1400,572
EURO FX - INTERNATIONAL MONETARY MARKET,1999-02-09,099741,30301,438,13561,0,19827,6795,10036,9945
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-02-09,102741,7495,2179,0,527,2549,5625,2240,1343
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-02-09,112661,2251,229,247,0,441,937,1581,1067
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-09,112741,2607,1164,0,0,510,2205,933,402
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-09,232741,29683,8032,0,0,13227,26496,8424,3187
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-02-16,090741,76337,18988,2941,661,25531,59073,31157,13662
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-02-16,092741,58906,2360,20588,2407,46217,16722,7922,19189
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-02-16,095741,19170,4352,0,0,9766,15020,5052,4150
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-02-16,097741,72244,7162,18278,1942,49317,31114,13823,20910
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-02-16,098662,11781,5783,6629,3612,354,1166,2032,374
EURO FX - INTERNATIONAL MONETARY MARKET,1999-02-16,099741,30110,450,15481,0,19118,4702,10542,9927
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-02-16,102741,8042,2639,0,527,2553,6296,2323,1219
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-02-16,112661,2136,204,243,0,410,955,1522,938
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-16,112741,2404,709,0,0,743,1847,952,557
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-16,232741,28733,7474,372,0,13280,24883,7979,3478
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-02-23,090741,79306,18485,2639,892,25926,59497,34003,16278
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-02-23,092741,58818,4265,27807,551,47514,13889,6488,16571
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-02-23,095741,19399,4782,310,0,9348,14568,5269,4521
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-02-23,097741,89085,1484,35774,976,76879,27812,9746,24523
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-02-23,098662,9569,5211,6121,1902,399,1069,2057,477
EURO FX - INTERNATIONAL MONETARY MARKET,1999-02-23,099741,37157,280,17425,0,24049,4669,12828,15063
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-02-23,102741,8152,2679,0,527,2503,6092,2443,1533
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-23,112741,2190,709,0,0,743,1848,738,342
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-02-23,232741,28933,6925,1184,0,13313,25407,8695,2342
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-03-02,090741,70181,13844,3578,928,26490,49669,28919,16006
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-03-02,092741,62783,2252,29841,100,53481,12882,6950,19960
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-03-02,095741,22137,6076,92,374,10249,16648,5438,5023
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-03-02,097741,97584,2536,38747,976,83881,30621,10191,27240
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-03-02,098662,8592,2893,3200,3465,399,1369,1835,558
EURO FX - INTERNATIONAL MONETARY MARKET,1999-03-02,099741,35989,2130,15704,0,20976,3364,12883,16921
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-03-02,102741,5885,1618,0,0,2697,5049,1570,836
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-03-02,232741,24360,980,1108,0,17886,18977,5494,4275
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-03-09,090741,72008,10980,3228,0,32652,51780,28376,17000
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-03-09,092741,77118,3058,32031,778,64372,21987,8910,22322
U.S. DOLLAR-SWISS FRANC - NEW YORK FUTURES EXCHANGE,1999-03-09,092772,1404,0,0,0,609,1320,795,84
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-03-09,095741,27511,7693,23,222,12320,20838,7276,6428
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-03-09,097741,124605,1305,45563,1542,108901,47219,12857,30281
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-03-09,098662,7277,3889,3456,1365,54,1481,1969,975
EURO FX - INTERNATIONAL MONETARY MARKET,1999-03-09,099741,44090,4730,13674,60,24203,9521,15097,20835
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-03-09,102741,6807,1829,0,0,2983,5919,1995,888
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-03-09,112741,2459,0,0,0,1440,1685,1019,774
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-03-09,232741,26370,1730,832,0,17883,20719,6757,4819
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-03-16,090741,72693,9432,3394,864,27100,50526,35297,17909
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-03-16,092741,58225,653,32740,385,50720,8310,6467,16790
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-03-16,095741,20305,7784,0,0,7807,16456,4714,3849
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-03-16,097741,74429,1878,33670,522,64147,18285,7882,21952
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-03-16,098662,8834,2192,2254,4126,560,1395,1956,1059
EURO FX - INTERNATIONAL MONETARY MARKET,1999-03-16,099741,32579,819,12823,0,20636,7607,11124,12149
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-03-16,102741,6796,1704,0,0,3029,5368,2063,1428
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-03-16,232741,17558,2161,463,0,9572,13796,5825,3299
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-03-23,090741,55557,12534,2331,1150,19550,42930,22323,9146
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-03-23,092741,59773,1580,33725,365,50566,9477,7262,16206
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-03-23,095741,20031,6148,339,0,8747,15653,5136,4039
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-03-23,097741,74634,2128,33858,500,62417,20070,9589,20206
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-03-23,098662,7369,1858,2403,3333,585,807,1593,826
EURO FX - INTERNATIONAL MONETARY MARKET,1999-03-23,099741,29252,1027,10156,115,20482,7711,7628,11270
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-03-23,102741,6442,1564,0,0,2766,5305,2112,1137
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-03-23,232741,19245,3085,463,0,10107,16167,6053,2615
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-03-30,090741,54803,9735,3272,550,22125,41537,22393,9444
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-03-30,092741,65132,848,37178,115,57448,10219,6721,17620
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-03-30,095741,19795,6419,0,0,8746,15761,4630,4034
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-03-30,097741,85280,2526,40989,500,74564,20234,7690,23557
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-03-30,098662,7198,1673,2813,2783,745,1032,1997,570
EURO FX - INTERNATIONAL MONETARY MARKET,1999-03-30,099741,36612,671,17948,0,26814,9094,9127,9570
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-03-30,102741,6237,1571,0,0,3026,5135,1640,1102
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-03-30,232741,17388,1539,421,0,10313,13496,5536,3471
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-04-06,090741,59329,12648,2955,315,20798,46149,25568,9910
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-04-06,092741,60305,250,34356,517,51522,9117,8016,16315
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-04-06,095741,20035,6566,450,0,8647,14961,4822,4624
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-04-06,097741,85436,1738,37435,1522,74516,21987,7660,24492
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-04-06,098662,6504,2003,3123,1874,660,980,1967,527
EURO FX - INTERNATIONAL MONETARY MARKET,1999-04-06,099741,30360,892,11934,285,18515,9225,10668,8916
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-04-06,102741,2666,224,0,0,1579,1840,863,826
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-04-06,122741,1244,210,0,0,266,610,768,634
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-04-06,232741,19584,2790,225,0,10397,16683,6397,2676
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-04-13,090741,70341,23269,4138,226,20411,55230,26435,10747
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-04-13,092741,61762,400,34887,132,54478,7060,6752,19683
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-04-13,095741,20690,6448,270,0,8837,15548,5405,4872
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-04-13,097741,83908,2089,38468,1566,70764,20128,9489,23746
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-04-13,098662,7298,1923,2501,2977,660,1201,1738,619
EURO FX - INTERNATIONAL MONETARY MARKET,1999-04-13,099741,31725,992,15152,56,19509,8632,11168,7885
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-04-13,102741,2935,224,0,0,1542,2180,1169,755
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-04-13,122741,1326,210,0,0,246,902,870,424
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-04-13,232741,18279,2477,1279,0,10373,14043,5429,2957
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-04-20,090741,79692,32135,3480,300,19553,66770,27704,9142
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-04-20,092741,69739,920,40832,0,60929,7749,7890,21158
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-04-20,095741,22328,7342,0,0,8555,16651,6431,5677
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-04-20,097741,85666,3212,28889,1661,66648,30458,14145,24658
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-04-20,098662,7807,2365,2802,2680,760,1484,2002,841
EURO FX - INTERNATIONAL MONETARY MARKET,1999-04-20,099741,43656,702,25204,320,33493,9177,9141,8955
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-04-20,102741,3035,224,0,0,1542,2183,1269,852
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-04-20,112741,1731,243,0,0,360,1110,1128,621
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-04-20,232741,29259,8393,727,0,11020,24343,9846,4189
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-04-27,090741,83465,35749,3559,614,17565,70028,29537,9264
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-04-27,092741,72793,1308,46645,0,64078,7557,7407,18591
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-04-27,095741,22603,6530,0,0,9651,16930,6422,5673
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-04-27,097741,94472,2906,38216,1423,80259,29409,9884,25424
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-04-27,098662,6477,2494,3265,1460,760,971,1763,781
EURO FX - INTERNATIONAL MONETARY MARKET,1999-04-27,099741,42000,2098,20956,320,30351,11380,9231,9344
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-04-27,102741,3386,224,0,0,1750,2183,1412,1203
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-04-27,112741,1548,243,0,0,360,1109,945,439
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-04-27,232741,37439,16263,410,0,10196,34670,10980,2359
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-05-04,090741,84922,35794,4030,930,18843,70523,29355,9439
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-05-04,092741,79764,2081,54553,0,68061,7675,9622,17536
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-05-04,095741,23979,6593,0,0,11139,17298,6247,6681
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-05-04,097741,99590,5370,43808,1382,86445,28716,6393,25684
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-05-04,098662,7584,2396,2711,2668,660,1327,1860,878
EURO FX - INTERNATIONAL MONETARY MARKET,1999-05-04,099741,41973,978,20158,320,30356,11129,10319,10366
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-05-04,102741,2225,224,0,0,1418,1890,583,335
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-05-04,112661,2702,487,0,0,987,1943,1228,759
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-04,112741,1669,375,0,0,360,1414,934,255
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-05-04,122741,1417,21,0,189,246,791,961,437
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-04,232741,42401,19102,549,0,12310,39794,10989,2058
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-05-11,090741,84985,35282,4117,1448,20060,70660,28195,8760
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-05-11,092741,69202,2026,40213,0,59634,10852,7542,18137
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-05-11,095741,25433,6679,250,0,12585,18898,6169,6285
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-05-11,097741,102147,2406,46471,1382,89100,30485,9259,23809
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-05-11,098662,7422,2707,2477,2440,987,1235,1288,1270
EURO FX - INTERNATIONAL MONETARY MARKET,1999-05-11,099741,43471,1842,12542,344,30936,21332,10349,9253
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-05-11,102741,2231,224,0,0,1416,1890,591,341
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-05-11,112661,3196,499,295,0,1470,1975,1227,926
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-11,112741,3850,2470,0,0,360,3311,1020,539
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-05-11,122741,1670,0,0,210,639,1002,821,458
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-11,232741,45073,20859,530,0,13013,42929,11201,1614
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-05-18,090741,87144,35044,4146,1785,22413,72662,27902,8551
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-05-18,092741,72148,1137,44487,634,61147,10648,9230,16379
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-05-18,095741,24321,6546,0,0,12168,17830,5607,6491
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-05-18,097741,136084,3018,69715,1946,120244,32883,10876,31540
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-05-18,098662,6939,2627,2170,2170,696,1526,1446,1073
EURO FX - INTERNATIONAL MONETARY MARKET,1999-05-18,099741,45633,1445,12008,310,31512,24088,12366,9227
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-05-18,102741,2227,224,0,0,1431,1890,572,337
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-05-18,112661,4433,1351,544,0,1469,2861,1613,1028
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-18,112741,6989,5426,500,0,360,4712,1203,1777
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-05-18,122741,1457,210,0,0,234,763,1013,694
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-18,232741,44225,19839,220,0,13163,41445,11223,2560
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-05-25,090741,84475,31589,2976,1320,23925,71349,27641,8830
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-05-25,092741,72256,1730,32345,306,61462,22118,8758,17487
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-05-25,095741,23982,2133,430,407,16872,14977,4570,8168
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-05-25,097741,131754,1827,64011,1210,114397,34369,14320,32164
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-05-25,098662,9674,4555,3658,2866,696,2282,1557,868
EURO FX - INTERNATIONAL MONETARY MARKET,1999-05-25,099741,47949,1278,10790,344,34429,26540,11898,10275
BRAZILIAN REAL - INTERNATIONAL MONETARY MARKET,1999-05-25,102741,2258,224,0,0,1431,1897,603,361
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-05-25,112661,4515,1209,473,0,2099,2829,1207,1213
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-25,112741,5763,2605,0,1,1764,2879,1393,2883
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-05-25,232741,38767,15664,1339,0,11995,33713,11108,3715
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-06-01,090741,77848,25017,3197,1525,26120,60567,25186,12559
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-06-01,092741,78503,820,34555,245,68193,21083,9245,22620
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-06-01,095741,22582,1147,897,381,17298,14162,3756,7142
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-06-01,097741,118114,3868,49791,2107,98953,39620,13186,26596
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-06-01,098662,11433,5345,4432,3590,698,2349,1800,1062
EURO FX - INTERNATIONAL MONETARY MARKET,1999-06-01,099741,57438,4676,12684,229,38915,31007,13618,13518
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-06-01,112661,3045,0,393,0,2437,1375,608,1277
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-01,112741,4858,0,0,0,3770,1401,1088,3457
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-06-01,122741,1294,0,0,0,470,602,824,692
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-01,232741,31713,10210,1000,246,12784,24291,8473,6176
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-06-08,090741,85077,23606,4089,413,36354,70006,24704,10569
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-06-08,092741,93143,1400,36991,5,81601,33521,10137,22626
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-06-08,095741,19943,1358,345,301,13133,12210,5151,7087
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-06-08,097741,146342,4801,53803,2683,119962,65972,18896,23884
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-06-08,098662,7569,4346,3747,1034,96,1427,2093,1361
EURO FX - INTERNATIONAL MONETARY MARKET,1999-06-08,099741,61075,4508,13482,200,40055,31752,16312,15641
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-06-08,112661,3814,0,0,0,2544,1537,1270,2277
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-08,112741,5341,0,0,0,4223,1895,1118,3446
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-06-08,122741,1814,0,0,0,788,1294,1026,520
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-08,232741,33552,6466,793,240,18142,27712,8704,4807
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-06-15,090741,83577,23824,3560,282,36492,71160,22979,8575
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-06-15,092741,60005,1560,35052,85,51552,6141,6808,18727
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-06-15,095741,14372,1693,345,0,9809,9234,2870,4793
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-06-15,097741,96356,2457,42518,1339,75838,34085,16722,18414
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-06-15,098662,9281,3368,2887,3749,625,1554,1539,1091
EURO FX - INTERNATIONAL MONETARY MARKET,1999-06-15,099741,37512,4962,13485,48,18769,13033,13733,10946
NEW ZEALAND DOLLARS - NEW YORK COTTON EXCHANGE,1999-06-15,112661,2137,0,338,0,1540,600,597,1199
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-15,112741,3419,0,0,0,2489,805,930,2614
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-06-15,122741,2046,0,0,0,1163,1783,883,263
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-15,232741,27121,7806,744,0,10701,23559,8614,2818
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-06-22,090741,62240,21823,2615,338,18585,52087,21494,7200
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-06-22,092741,61728,1754,36481,0,55070,5620,4904,19627
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-06-22,095741,19833,4284,0,0,10395,14730,5154,5103
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-06-22,097741,104052,2178,53021,273,91990,33723,9611,17035
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-06-22,098662,8961,3616,3319,3055,719,1766,1571,821
EURO FX - INTERNATIONAL MONETARY MARKET,1999-06-22,099741,39349,6740,12062,347,18990,14846,13272,12094
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-22,112741,3511,0,0,0,2489,1236,1022,2275
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-06-22,122741,1689,449,0,0,579,1493,661,196
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-22,232741,27375,8437,1193,0,11067,22430,7871,3752
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-06-29,090741,62374,22580,2898,912,18650,51082,20232,7482
SWISS FRANC - INTERNATIONAL MONETARY MARKET,1999-06-29,092741,62864,1091,37974,162,54770,5552,6841,19176
MEXICAN PESO - INTERNATIONAL MONETARY MARKET,1999-06-29,095741,23080,4328,0,0,13750,17691,5002,5389
JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1999-06-29,097741,108234,3561,52628,1093,92536,34488,11044,20025
U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1999-06-29,098662,8268,3098,3190,2666,719,1563,1785,849
EURO FX - INTERNATIONAL MONETARY MARKET,1999-06-29,099741,39950,7465,11333,247,18318,17985,13920,10385
NEW ZEALAND DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-29,112741,3530,0,0,0,2489,1362,1041,2168
SOUTH AFRICAN RAND - INTERNATIONAL MONETARY MARKET,1999-06-29,122741,1800,249,0,0,781,1548,770,252
AUSTRALIAN DOLLARS - INTERNATIONAL MONETARY MARKET,1999-06-29,232741,27723,8276,946,0,11304,23286,8143,3491
CANADIAN DOLLAR - INTERNATIONAL MONETARY MARKET,1999-07-06,090741,61270,18634,3505,321,20839,50069,21476,7375
